author,title,description,source_name,source_id,Sentiment,Topics
"Kelsey Walsh, Soo Rin Kim, Lalee Ibssa",Donald Trump and Elon Musk golf at Trump International after election win,"The president-elect returned to golf at Trump International, the same course where an assassination attempt was made against him in September.",ABC News,abc-news,Neutral,Elections and Campaigns
Tal Axelrod,Donald Trump wins 2nd term in historic return to White House,"ABC News is projecting former President Donald Trump will win the presidential race, staging a historic comeback to defeat Vice President Kamala Harris.",ABC News,abc-news,Positive,
ABC News,"WATCH: Donald Trump wins 2nd term in historic return to White House, ABC News projects","ABC News is projecting former President Donald Trump will win the presidential race, staging a historic comeback to defeat Vice President Kamala Harris.",ABC News,abc-news,Positive,
,Man charged in alleged Iranian murder-for-hire plan targeting Donald Trump: U.S. Justice Department,"The U.S. Justice Department on Friday disclosed an Iranian murder-for-hire plot to kill Donald Trump, charging a man who said he had been tasked by a government official before this week's election with planning the assassination of the Republican president-e…",CBC News,cbc-news,Neutral,"Elections and Campaigns, Politics and Governance"
,Donald Trump to become U.S. president again,Republican Donald Trump will become the 47th president of the United States after beating Democratic candidate Kamala Harris in the election to complete a stunning political comeback.,CBC News,cbc-news,Positive,Elections and Campaigns
Brit McCandless Farmer,How Donald Trump won,"Across the country, voters shifted to the right, making Donald Trump the first Republican president in 20 years to win the popular vote. CBS News pollster Anthony Salvanto explains why.",CBS News,cbs-news,Positive,Elections and Campaigns
Alain Sherter,"Donald Trump election win boosts stocks, cryptocurrency and Trump Media",Stocks and cryptocurrency prices set to power higher after Donald Trump is projected winner in U.S. presidential election.,CBS News,cbs-news,Positive,Elections and Campaigns
Melissa Quinn,Donald Trump and Kamala Harris' stances on police,"In the run-up to the 2024 presidential election, both Harris and Trump have been presenting themselves as the tough-on-crime candidate.",CBS News,cbs-news,Neutral,Elections and Campaigns
CBS News,"Possible paths to victory for Donald Trump, Kamala Harris",Elections and surveys director Anthony Salvanto has a look at the latest CBS News polling just one day before Election Day with insight on how Donald Trump or Kamala Harris could win the White House.,CBS News,cbs-news,Positive,Elections and Campaigns
CBS News,When will Donald Trump be sworn into office?,It will be several months before President-elect Donald Trump takes office. Here's what to know about when he will be sworn in as the 47th president of the United States.,CBS News,cbs-news,Neutral,
CBS News,3 charged in Iran-linked plot to kill Donald Trump,"Three individuals living in the U.S. have been charged in connection to an apparent plan to assassinate President-elect Donald Trump, unsealed court records show. Jon Alterman, senior vice president and Middle East program director for the Center for Strategi…",CBS News,cbs-news,Negative,Legal Issues
CBS News,Eye Opener: Former President Donald Trump to become the 47th president of the United States,"CBS News projects that Donald Trump will return to the White House after a landmark victory in what his running mate, JD Vance, called ""the greatest political comeback in history."" Vice President Kamala Harris postpones her speech and Republicans secure contr…",CBS News,cbs-news,Positive,
CBS News,Donald Trump projected to win 2024 presidential election. Here's what to know,"CBS News projects former President Donald Trump to win the 2024 presidential election, surpassing the 270 electoral votes needed. Trump won multiple battleground states, including Georgia and Pennsylvania, both of which Biden secured in 2020.",CBS News,cbs-news,Positive,Elections and Campaigns
CBS News,How Donald Trump and Kamala Harris could reach 270 electoral votes,A candidate needs 270 electoral votes to become the next president. Ed O'Keefe looks at the scenarios that offer Donald Trump and Kamala Harris their best paths to victory as Election Day unfolds.,CBS News,cbs-news,Positive,Elections and Campaigns
CBS News,Donald Trump projected to become 47th president of the United States,CBS News projects Donald Trump's return to the White House after key battleground wins and popular vote victory. The historic comeback makes Trump the oldest president-elect and the first since Grover Cleveland to serve non-consecutive terms. CBS News campaig…,CBS News,cbs-news,Positive,Elections and Campaigns
CBS News,Analysis of how Donald Trump is projected to win the 2024 presidential race,"CBS News political contributor and Democratic strategist Joel Payne joins ""CBS Mornings"" to discuss Trump's projected victory in the 2024 presidential race.",CBS News,cbs-news,Neutral,
Aimee Picchi,"Here's how much Donald Trump is worth, from his DJT stock to real estate","Donald Trump is still a billionaire, but his net worth has fluctuated sharply this year along with the value of one of his main investments.",CBS News,cbs-news,Positive,
,Stocks roar out of the gate after Donald Trump election win,"Donald Trump's projected victory in the U.S. presidential election could boost economic growth and herald market-friendly policies, according to Wall Street.",CBS News,cbs-news,Positive,"Elections and Campaigns, Economic Policies"
CBS News,"Donald Trump elected president again after winning Wisconsin's electoral votes, CBS News projects","Former President Donald Trump has been elected president once again, CBS News projects. Norah O'Donnell anchored CBS News' special coverage.",CBS News,cbs-news,Positive,Elections and Campaigns
CBS News,How President-elect Donald Trump won Pennsylvania − and what voters say about the flip,President-elect Donald Trump won Pennsylvania after losing the state in 2020. Scott Pelley visited to find out what was behind the shift this election.,CBS News,cbs-news,Negative,Elections and Campaigns
Anthony L. Fisher,Kamala Harris just did what Donald Trump never could,The vice president revived the 220-year-old tradition of peaceful transfer of power that Donald Trump broke in 2020.,MSNBC,msnbc,Positive,
Seth Masket,Here’s what to remember if Donald Trump tries to claim he won early on election night,"On election night, Trump will use the early Republican-leaning vote count to try to claim that he has won and that later votes coming in for Harris are signs of malfeasance.",MSNBC,msnbc,Positive,Elections and Campaigns
Jordan Rubin,"Donald Trump wins presidential race, defeating Kamala Harris, NBC News projects","Trump defeats Harris in the 2024 presidential election, NBC News projects. The Republican has vowed a revenge-filled second term that may now come to fruition.",MSNBC,msnbc,Neutral,Elections and Campaigns
Hayes Brown,Donald Trump should not be this close to the presidency again,"As people vote for president on Election Day 2024, Donald Trump could win against Kamala Harris. despite his many indictments, conviction, and campaign mistakes",MSNBC,msnbc,Positive,"Elections and Campaigns, Legal Issues"
Jordan Rubin,Jack Smith plans to step down before Donald Trump takes office,"Trump has said he would fire the special counsel within ""two seconds."" The Republican's presidential victory means his federal criminal cases will vanish.",MSNBC,msnbc,Negative,
"Amaris Encinas, USA TODAY",People react to Vanity Fair cover of Donald Trump after presidential election win,"Vanity Fair's Wednesday cover of Donald Trump sparked discourse online, following his victory over Vice President Kamala Harris on Tuesday.",USA Today,usa-today,Positive,Elections and Campaigns
jfaris@businessinsider.com (James Faris),'I got it wrong': Anthony Scaramucci shares 4 key reasons why Donald Trump won,Anthony Scaramucci's reasons for Trump's win focus on the economy and Harris' campaign approach. It's a wake-up call for Democrats.,Business Insider,business-insider,Positive,"Elections and Campaigns, Economic Policies"
jhart@insider.com (Jordan Hart),Apple's Tim Cook is going to have a headache on his hands if Donald Trump follows through on tariffs this time around,Apple's Tim Cook must navigate potential cost increases if Trump enacts 60% tariffs on Chinese goods.,Business Insider,business-insider,Neutral,
"Hannah Knudsen, Hannah Knudsen",Donald Trump Projected to Win Battleground Wisconsin,"Former President Donald Trump is the projected winner in battleground Wisconsin, as Fox News formally made the call shortly before 2 a.m. ET.
The post Donald Trump Projected to Win Battleground Wisconsin appeared first on Breitbart.",Breitbart News,breitbart-news,Positive,
"Sean Moran, Sean Moran",Donald Trump Projected to Win Kentucky,"Former President Donald Trump beat Vice President Kamala Harris in the Bluegrass State, according to projections.
The post Donald Trump Projected to Win Kentucky appeared first on Breitbart.",Breitbart News,breitbart-news,Positive,
"Breitbart News, Breitbart News","Watch Live: Donald Trump Holds Rally in Raleigh, North Carolina","Former President Donald Trump speaks to supporters in Raleigh, North Carolina, on Monday, November 4, the last day before the election.
The post Watch Live: Donald Trump Holds Rally in Raleigh, North Carolina appeared first on Breitbart.",Breitbart News,breitbart-news,Positive,Elections and Campaigns
"Breitbart News, Breitbart News","Watch Live: Donald Trump Holds Rally in Gastonia, North Carolina","Former President Donald Trump speaks to supporters at a rally in Gastonia, North Carolina, on Saturday, November 2.
The post Watch Live: Donald Trump Holds Rally in Gastonia, North Carolina appeared first on Breitbart.",Breitbart News,breitbart-news,Positive,
"Breitbart News, Breitbart News","Watch Live: Donald Trump Holds Rally in Greensboro, North Carolina","Former President Donald Trump speaks to supporters at a rally in Greensboro, North Carolina, on Saturday, November 2.
The post Watch Live: Donald Trump Holds Rally in Greensboro, North Carolina appeared first on Breitbart.",Breitbart News,breitbart-news,Positive,
"Breitbart News, Breitbart News","Watch Live: Donald Trump Holds Rally in Lititz, Pennsylvania","Former President Donald Trump speaks to supporters at a rally in Lititz, Pennsylvania, on Sunday, November 3.
The post Watch Live: Donald Trump Holds Rally in Lititz, Pennsylvania appeared first on Breitbart.",Breitbart News,breitbart-news,Positive,
"Breitbart News, Breitbart News","Watch Live: Donald Trump Holds Rally in Albuquerque, New Mexico","Former President Donald Trump speaks to supporters at a rally in Albuquerque, New Mexico, on Thursday, October 31.
The post Watch Live: Donald Trump Holds Rally in Albuquerque, New Mexico appeared first on Breitbart.",Breitbart News,breitbart-news,Positive,
"Breitbart News, Breitbart News","Watch Live: Donald Trump Holds Rally in Henderson, Nevada","Former President Donald Trump speaks to supporters at a rally in Henderson, Nevada, on Thursday, October 31.
The post Watch Live: Donald Trump Holds Rally in Henderson, Nevada appeared first on Breitbart.",Breitbart News,breitbart-news,Positive,
"Breitbart News, Breitbart News","Watch Live: Donald Trump Holds Rally in Milwaukee, Wisconsin","Former President Donald Trump speaks to supporters at a rally in Milwaukee, Wisconsin, on Friday, November 1.
The post Watch Live: Donald Trump Holds Rally in Milwaukee, Wisconsin appeared first on Breitbart.",Breitbart News,breitbart-news,Positive,
"Nick Gilbertson, Nick Gilbertson","Donald Trump Wins Michigan, Completes Red Wall in Rust Belt","President-elect Donald Trump has won the state of Michigan as he runs up the score on Vice President Kamala Harris in the electoral college.
The post Donald Trump Wins Michigan, Completes Red Wall in Rust Belt appeared first on Breitbart.",Breitbart News,breitbart-news,Positive,
"Neil Munro, Neil Munro",Voter Surveys Show Record Latino Support for Donald Trump,"Voter surveys, including exit polls, show Donald Trump is on track to score a record share of the expanding Latino vote, according to reports.
The post Voter Surveys Show Record Latino Support for Donald Trump appeared first on Breitbart.",Breitbart News,breitbart-news,Positive,Elections and Campaigns
"Elizabeth Weibel, Elizabeth Weibel",Poll: Donald Trump Leading Kamala Harris by Three Points Nationally,"Former President Donald Trump is leading Vice President Kamala Harris by three points nationally, according to a recent poll.
The post Poll: Donald Trump Leading Kamala Harris by Three Points Nationally appeared first on Breitbart.",Breitbart News,breitbart-news,Positive,
"Neil Munro, Neil Munro",Pro-Migration Investors Warn Donald Trump: Think of the Children!,"West Coast consumer-economy investors are posing as protectors of the nation's families on the day after American citizens gave President Donald Trump a democratic mandate to enforce the nation's popular immigration laws.
The post Pro-Migration Investors Warn…",Breitbart News,breitbart-news,Positive,"Legal Issues, Economic Policies, Immigration"
"Breitbart News, Breitbart News","Watch Live: Donald Trump Holds Rally in Salem, Virginia","Former President Donald Trump speaks to supporters at a rally in Salem, Virginia, on Saturday, November 2.
The post Watch Live: Donald Trump Holds Rally in Salem, Virginia appeared first on Breitbart.",Breitbart News,breitbart-news,Positive,
"Breitbart News, Breitbart News","Watch Live: Donald Trump Holds Rally in Green Bay, Wisconsin","Former President Donald Trump speaks to supporters at a rally in Green Bay, Wisconsin, on Wednesday, October 30.
The post Watch Live: Donald Trump Holds Rally in Green Bay, Wisconsin appeared first on Breitbart.",Breitbart News,breitbart-news,Negative,
"Joel B. Pollak, Joel B. Pollak",Donald Trump Wins the Presidency; Greatest Comeback in American History,"Former President Donald John Trump is the winner of the 2024 presidential election, and will become the first person to win back the Oval Office after losing a reelection bid since Democrat Grover Cleveland in 1884 and 1892.
The post Donald Trump Wins the Pre…",Breitbart News,breitbart-news,Positive,Elections and Campaigns
"Hannah Knudsen, Hannah Knudsen","Donald Trump Projected to Win Florida, Securing 30 Electoral Votes","The state of Florida has tipped yet again for former President Donald Trump in the presidential election.
The post Donald Trump Projected to Win Florida, Securing 30 Electoral Votes appeared first on Breitbart.",Breitbart News,breitbart-news,Positive,Elections and Campaigns
"Breitbart News, Breitbart News","Watch Live: Donald Trump Holds Rally in Pittsburgh, Pennsylvania","Former President Donald Trump speaks to supporters at a rally in Pittsburgh, Pennsylvania, on Monday, November 4, the final day before the election.
The post Watch Live: Donald Trump Holds Rally in Pittsburgh, Pennsylvania appeared first on Breitbart.",Breitbart News,breitbart-news,Positive,Elections and Campaigns
"Elizabeth Weibel, Elizabeth Weibel",Donald Trump Praised by Arab-Americans in Dearborn: 'Look to Trump Presidency with Hope',"Former President Donald Trump was praised by Arab-Americans in Dearborn, Michigan, on Friday, who revealed that they were looking to a ""Trump presidency with hope.""
The post Donald Trump Praised by Arab-Americans in Dearborn: ‘Look to Trump Presidency with Ho…",Breitbart News,breitbart-news,Neutral,
"Jeff Poor, Jeff Poor",Rick Scott: 'I Want the Donald Trump Agenda Implemented',"Monday, on FNC's ""Hannity,"" Sen. Rick Scott (R-FL), a declared candidate for Senate Majority Leader, argued his case for his candidacy for the vote scheduled for Wednesday morning.
The post Rick Scott: ‘I Want the Donald Trump Agenda Implemented’ appeared fir…",Breitbart News,breitbart-news,Neutral,"Elections and Campaigns, Politics and Governance"
"Wendell Husebo, Wendell Husebo",Donald Trump's Iconic 'YMCA' 'Trump Romp' Becomes a Cultural Phenomenon,"President-elect Donald Trump's so-called Trump Romp to the iconic ""YMCA"" tune is the latest Trump-inspired phenomenon in pop culture.
The post Donald Trump’s Iconic ‘YMCA’ ‘Trump Romp’ Becomes a Cultural Phenomenon appeared first on Breitbart.",Breitbart News,breitbart-news,Positive,Cultural Impact
"Paul Bois, Paul Bois",NBC Airs Donald Trump Ad During NASCAR in Response to SNL Kamala Harris Appearance,"NBC aired a 90-second Trump ad during NASCAR on Sunday in response to complaints about Kamala Harris appearing on Saturday Night Live.
The post NBC Airs Donald Trump Ad During NASCAR in Response to SNL Kamala Harris Appearance appeared first on Breitbart.",Breitbart News,breitbart-news,Positive,
"Neil Munro, Neil Munro",Donald Trump Answers Biden: 'You Can’t Lead America if You Don’t Love the American People',"""You can’t lead America if you don’t love the American People,"" former President Donald Trump responded in the uproar after President Joe Biden described millions of Republican supporters as ""garbage.""
The post Donald Trump Answers Biden: ‘You Can’t Lead Amer…",Breitbart News,breitbart-news,Positive,
"Alana Mastrangelo, Alana Mastrangelo",Watch: AI-Generated 'Babies for Trump' Rap that Donald Will Bring Back 'Cash for the Crib',"AI is not always a bad thing — especially in the hands of creative conservatives. The new AI-generated ""Babies for Trump"" rap video shows artificial intelligence can be harnessed for funny and cute things too.
The post Watch: AI-Generated ‘Babies for Trump’ R…",Breitbart News,breitbart-news,Positive,
"Simon Kent, Simon Kent","Fani Willis, Georgia Prosecutor in Election Case Against Donald Trump, Is Reelected","Fulton County District Attorney Fani Willis, the Georgia prosecutor responsible for charges against former President and President-elect Donald Trump over the 2020 presidential election, has won her bid for reelection.
The post Fani Willis, Georgia Prosecutor…",Breitbart News,breitbart-news,Positive,Elections and Campaigns
"Elizabeth Weibel, Elizabeth Weibel",Donald Trump Calls His Election Performance 'a Magnificent Victory for the American People',"President-Elect and former President Donald Trump spoke about how his win in the 2024 election was a ""magnificent victory for the American people.""
The post Donald Trump Calls His Election Performance ‘a Magnificent Victory for the American People’ appeared f…",Breitbart News,breitbart-news,Positive,Elections and Campaigns
"Breitbart News, Breitbart News","Watch Live: Donald Trump Holds Final Campaign Rally in Grand Rapids, Michigan","Former President Donald Trump speaks to supporters at his final rally of the 2024 presidential election in Grand Rapids, Michigan, on Monday, November 4, the eve of the election.
The post Watch Live: Donald Trump Holds Final Campaign Rally in Grand Rapids, Mi…",Breitbart News,breitbart-news,Positive,Elections and Campaigns
"Wendell Husebø, Wendell Husebø",Open Secrets: Democrats Vaporize over $2.1 Billion in Losing Effort Against Donald Trump,"The Harris campaign and allied groups burned more than $2.185 billion trying to prevent former President Donald Trump from completing the greatest comeback in American political history, according to Open Secrets data.
The post Open Secrets: Democrats Vaporiz…",Breitbart News,breitbart-news,Positive,Elections and Campaigns
"Neil Munro, Neil Munro",Poll: Voters Want Donald Trump to Fix Migration Before Tax Cut,"Voters want President-elect Donald Trump to fix the migration crisis before passing a tax bill, according to a post-election survey from Ipsos and Reuters.
The post Poll: Voters Want Donald Trump to Fix Migration Before Tax Cut appeared first on Breitbart.",Breitbart News,breitbart-news,Positive,"Elections and Campaigns, Economic Policies"
"Breitbart News, Breitbart News","Watch Live: Donald Trump Speaks at Roundtable in Drexel Hill, Pennsylvania","Former President Donald Trump speaks at a roundtable discussion hosted by Building America’s Future in Drexel Hill, Pennsylvania, on Tuesday, October 29.
The post Watch Live: Donald Trump Speaks at Roundtable in Drexel Hill, Pennsylvania appeared first on Bre…",Breitbart News,breitbart-news,Positive,
"Breitbart News, Breitbart News","Watch Live: Donald Trump Holds Rally in Rocky Mount, North Carolina","Former President Donald Trump speaks to supporters at a rally in Rocky Mount, North Carolina, on Wednesday, October 30.
The post Watch Live: Donald Trump Holds Rally in Rocky Mount, North Carolina appeared first on Breitbart.",Breitbart News,breitbart-news,Positive,
"Hannah Knudsen, Hannah Knudsen",Watch — Donald Trump Rides Garbage Truck to Wisconsin Rally: ‘250 Million People Are Not Garbage’,"Former President Donald Trump rode in a garbage truck on Wednesday to his Wisconsin rally in response to President Joe Biden trashing millions of Americans as ""garbage.""
The post Watch — Donald Trump Rides Garbage Truck to Wisconsin Rally: ‘250 Million People…",Breitbart News,breitbart-news,Neutral,
"Elizabeth Weibel, Elizabeth Weibel","Donald Trump: Non-Endorsing LA Times, Washington Post Say Kamala Harris Is 'No Good'","Former President Donald Trump spoke about how the Los Angeles Times and Washington Post had declined to endorse Vice President Kamala Harris, adding that they were sending a message that she was ""no good.""
The post Donald Trump: Non-Endorsing LA Times, Washin…",Breitbart News,breitbart-news,Negative,
"Warner Todd Huston, Warner Todd Huston",Donald Trump Tees Off on Mark Cuban with Epic Golf Insult,"This week, Mark Cuban made himself a target by saying that former President Trump does not surround himself with ""strong, intelligent women."" Donald Trump responded to Cuban's insult in epic style.
The post Donald Trump Tees Off on Mark Cuban with Epic Golf I…",Breitbart News,breitbart-news,Positive,
"Dylan Gwinn, Dylan Gwinn",WATCH: Donald Trump Welcomes Son of Baseball Legend Roberto Clemente Jr. on Rally Stage in Pittsburgh,"Former President Trump welcomed Roberto Clements Jr., the son of the baseball legend of the same name, to the rally stage in Pittsburgh on Monday.
The post WATCH: Donald Trump Welcomes Son of Baseball Legend Roberto Clemente Jr. on Rally Stage in Pittsburgh a…",Breitbart News,breitbart-news,Neutral,
"Neil Munro, Neil Munro",Donald Trump Threatens Tariffs on Mexico to Revive Curbs on Cartels and Migrants,"President Donald Trump is backing up his promise to enforce the nation's border laws with a threat to impose huge tariffs on Mexico's exports to the United States.
The post Donald Trump Threatens Tariffs on Mexico to Revive Curbs on Cartels and Migrants appea…",Breitbart News,breitbart-news,Positive,"Legal Issues, Immigration"
"Olivia Rondeau, Olivia Rondeau","Report: Kamala Harris Calls Donald Trump to Concede Election, Discuss 'Peaceful Transfer of Power'","Vice President Kamala Harris has called former President and President-elect Donald Trump to concede the election, a campaign aide reportedly told Fox News.
The post Report: Kamala Harris Calls Donald Trump to Concede Election, Discuss ‘Peaceful Transfer of P…",Breitbart News,breitbart-news,Positive,Elections and Campaigns
"Amy Furr, Amy Furr",Poll: 75% of Voters Accept Donald Trump as the Legitimate President,"A majority of registered voters have shared their reaction to President-elect Donald Trump winning the White House a second time.
The post Poll: 75% of Voters Accept Donald Trump as the Legitimate President appeared first on Breitbart.",Breitbart News,breitbart-news,Positive,Elections and Campaigns
"Simon Kent, Simon Kent","Date Set for Joe Biden, Donald Trump Meeting at the White House","Departing President Joe Biden and President-elect Donald Trump will meet at the White House on Wednesday morning to discuss the transition of power between their respective administrations.
The post Date Set for Joe Biden, Donald Trump Meeting at the White Ho…",Breitbart News,breitbart-news,Neutral,
"Elizabeth Weibel, Elizabeth Weibel",Poll: Donald Trump Leading Kamala Harris by 10 Percent In Iowa,"Former President Donald Trump is leading Vice President Kamala Harris in Iowa by more than 10 percent, according to a recent poll.
The post Poll: Donald Trump Leading Kamala Harris by 10 Percent In Iowa appeared first on Breitbart.",Breitbart News,breitbart-news,Positive,
"Amy Furr, Amy Furr",Donald Trump Hits CBS News with $10 Billion Lawsuit for 'Deceptive' Harris Interview,"Former President Donald Trump (R) is suing CBS News for a whopping $10 billion in regard to its 60 Minutes interview with Vice President Kamala Harris (D), with the news coming as Election Day approaches.
The post Donald Trump Hits CBS News with $10 Billion L…",Breitbart News,breitbart-news,Neutral,"Elections and Campaigns, Legal Issues"
"Kurt Zindulka, Kurt Zindulka",Hungary's Viktor Orban Convinced Donald Trump Will Bring Peace to Ukraine if Elected,"Hungarian Prime Minister Viktor Orbán said that he is convinced that if Donald Trump is sent back to the White House, he will immediately bring about a diplomatic solution to the war in Ukraine, with or without the help of the European Union.
The post Hungary…",Breitbart News,breitbart-news,Neutral,
"Hannah Knudsen, Hannah Knudsen",Exclusive -- JD Vance Closing Argument: 'Kamala Harris Broke It; Donald Trump Will Fix It',"Vice President Kamala Harris broke it, and former President Donald Trump will fix it, Sen. JD Vance (R-OH) said during an appearance on Breitbart News Saturday, laying out the closing argument for the campaign just days ahead of the election.
The post Exclusi…",Breitbart News,breitbart-news,Neutral,Elections and Campaigns
"Olivia Rondeau, Olivia Rondeau",Tim Walz: Donald Trump Is a 'Dictator' Trying to 'Overturn the Constitution',"Vice-presidential candidate Minnesota Gov. Tim Walz (D) claimed that former President Donald Trump is a ""dictator"" trying to ""overturn the Constitution"" during his rally in Arizona on Saturday.
The post Tim Walz: Donald Trump Is a ‘Dictator’ Trying to ‘Overtu…",Breitbart News,breitbart-news,Neutral,
"Hannah Knudsen, Hannah Knudsen",Exclusive -- Karoline Leavitt: Donald Trump 'Has Not Taken One Day Off',"Former President Donald Trump has been on the trail straight, not taking a single day off, and he has no plans to do so, Karoline Leavitt said.
The post Exclusive — Karoline Leavitt: Donald Trump ‘Has Not Taken One Day Off’ appeared first on Breitbart.",Breitbart News,breitbart-news,Positive,
"Lucas Nolan, Lucas Nolan",Big Tech Brainwashing: Wikipedia Works Overtime to Label Donald Trump a Fascist,"A detailed analysis of Wikipedia's editing patterns has uncovered systematic changes to articles related to political content, revealing a focused effort to tie Donald Trump to fascism. The Wikipedia article on ""Trumpism"" contains 31 references to fascism, wi…",Breitbart News,breitbart-news,Positive,
"Hannah Knudsen, Hannah Knudsen",Poll: Donald Trump Ekes out Lead over Kamala Harris in Battleground Michigan,"Former President Donald Trump has the slightest lead over Vice President Kamala Harris in battleground Michigan, according to a Suffolk/USA Today survey, released just days ahead of the election.
The post Poll: Donald Trump Ekes out Lead over Kamala Harris in…",Breitbart News,breitbart-news,Neutral,Elections and Campaigns
"John Binder, John Binder",Exit Polls: 25% of Black Men in Georgia Voted for Donald Trump this Election,"President Donald Trump scored 25 percent of the black male vote in Georgia this election, a Fox News Channel exit poll shows. 
The post Exit Polls: 25% of Black Men in Georgia Voted for Donald Trump this Election appeared first on Breitbart.",Breitbart News,breitbart-news,Negative,Elections and Campaigns
"Kristina Wong, Kristina Wong","Vice President Kamala Harris Silent, Doesn't Call President-Elect Donald Trump to Congratulate Him","Vice President Kamala Harris did not call former and now President-Elect President Donald Trump to congratulate him on his historic comeback win, as is customary for the losing candidate.
The post Vice President Kamala Harris Silent, Doesn’t Call President-El…",Breitbart News,breitbart-news,Positive,
"Wendell Husebø, Wendell Husebø",Report: Democrats Spend over $2.1 Billion Trying to Stop Donald Trump,"The Harris campaign and allied groups spent more than $2.185 billion trying to prevent former President Donald Trump from completing the greatest comeback in American political history, Bloomberg reported on Open Secrets data.
The post Report: Democrats Spend…",Breitbart News,breitbart-news,Positive,Elections and Campaigns
"Kurt Zindulka, Kurt Zindulka",Animal Spirits!: Viral Baby Hippo 'Moo Deng' Predicts Donald Trump Victory,"Donald J. Trump will win the U.S. presidential election and defeat Democrat Vice President Kamala Harris, a baby hippo in Thailand has predicted.
The post Animal Spirits!: Viral Baby Hippo ‘Moo Deng’ Predicts Donald Trump Victory appeared first on Breitbart.",Breitbart News,breitbart-news,Positive,Elections and Campaigns
"Warner Todd Huston, Warner Todd Huston","Donald Trump Praises Caitlin Clark: 'Give Her the Ball, She's Unbelievable'","Donald Trump praised Caitlin Clark and spoke of the female athlete pay gap during a surprise visit to former coach Bill Belichick's podcast.
The post Donald Trump Praises Caitlin Clark: ‘Give Her the Ball, She’s Unbelievable’ appeared first on Breitbart.",Breitbart News,breitbart-news,Neutral,
"Simon Kent, Simon Kent",Nikki Haley Backs Donald Trump in Supportive Op-Ed -- 'Easy Call',"Nikki Haley, who ran as a foe to former President Donald Trump a matter of months ago, is now a friend. She made her new stance clear in a supportive op-ed about the Republican candidate on Sunday barely 48-hours out from polling day.
The post Nikki Haley Bac…",Breitbart News,breitbart-news,Positive,
"Joel B. Pollak, Joel B. Pollak",Donald Trump Closes Final Campaign Rally at 2:09 a.m. Election Day,"Former President Donald Trump concluded the final campaign rally of the 2024 election at 2:09 a.m. Eastern Standard Time on Election Day in Grand Rapids, Michigan, defying opponents who claimed he was losing his energy.
The post Donald Trump Closes Final Camp…",Breitbart News,breitbart-news,Positive,Elections and Campaigns
"Wendell Husebø, Wendell Husebø",Donald Trump Applauded for Picking Elise Stefanik for U.N. Ambassador: 'By Far the Best Choice',"President-elect Donald Trump was roundly praised for nominating House Conference Chair Elise Stefanik (R-NY) for U.N. Ambassador.
The post Donald Trump Applauded for Picking Elise Stefanik for U.N. Ambassador: ‘By Far the Best Choice’ appeared first on Breitb…",Breitbart News,breitbart-news,Positive,
